Text,Paraphrase
I've never met anyone who was able to learn how to play basketball just by reading a book. The same holds true for learning foreign languages as well.,I've never met anyone who taught themselves to play basketball just by reading a book; the same with foreign language.
"If it had not been for his help, I would have failed.","If it were not for her help, I would not succeed."
I'll be at home the next time she comes.,I will be at home when she comes next.
I cannot do otherwise than obey him.,I can't do anything but obey him.
I am Teochew.,I am a Teochew.
I don't like a fat diet.,I don't like fatty foods.
She is always confusing salt with sugar.,She frequently gets sugar and salt mixed up.
She weighs 120 pounds.,She weighs fifty five kilograms.
She owes him a lot of money.,He borrowed a lot of money from him.
"I'm embarrassed to ask, but may I please use your bathroom?","Sorry, could I use the toilet?"
Tom is a bit pale.,Tom is a little pale.
I owe Tom money.,I owe Tom some money.
He's very fair-minded.,He is extremely unbiased.
His concert attracted many people.,Many people attended his concert.
Should I insert coins first?,Do I need to put a coin in first?
It's a great honor to be able to meet you.,It is a great honor to meet him.
It is a great honor to become acquainted with her.,It's a great honor to know her.
Don't forget to ask after Mr Long's wife when you see him.,"If you see Mr. Long, please don't forget to ask him how his wife's doing."
Birds are singing in the trees.,Birds were singing in the woods.
Susan is two years my senior.,Susan is two years older than me.
This beer tastes bitter.,This beer is bitter.
Cat eats bread.,The cat eats bread.
How would you explain these words?,How do you interpret these words?
Public morals have been corrupted in this town.,Public morals are not respected anymore in this town.
I believe that there's a mistake.,I think I have a question.
I fell into company with him.,I became his friend.
I assume that you're Canadian.,I assume you're Canadian.
Tom was asking questions.,Tom has been asking the questions.
Do you have time this morning?,Do you have any free time in the morning?
Tom told me that I should do that.,Tom said I should've done that.
Tom said I needed to do that.,Tom said I should have done that.
I go to my work at eight forty as a rule.,"Generally speaking, I leave work at 8:40."
Tom reassured Mary.,Tom comforted Mary.
This horror movie is really scary. I couldn't sleep after I watched it.,That horror movie was very scary and I couldn't sleep after watching it.
Sometimes we lie to keep from hurting someone else's feelings.,Sometimes we lie so that we don't hurt the feelings of others.
Be careful! The floor is wet.,Caution! Wet floor.
Tom didn't know that Mary loved him.,Tom didn't know Mary liked him.
Tom said he was sick.,Tom said you were sick.
